2025-03-13 15:57:35 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-03-13 15:57:35 [main] INFO  c.c.f.household.HouseholdApplication - Starting HouseholdApplication using Java 21.0.6 on senanism with PID 6412 (C:\Users\senan.ism\Desktop\household-web-summer-24-25-iteration1\household-web-summer-24-25-iteration1\target\classes started by senan.ism in C:\Users\senan.ism\Desktop\household-web-summer-24-25-iteration1\household-web-summer-24-25-iteration1)
2025-03-13 15:57:35 [main] INFO  c.c.f.household.HouseholdApplication - The following 1 profile is active: "local"
2025-03-13 15:57:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-13 15:57:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 280 ms. Found 11 JPA repository interfaces.
2025-03-13 15:57:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-03-13 15:57:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-13 15:57:38 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-13 15:57:38 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-03-13 15:57:39 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-13 15:57:39 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3515 ms
2025-03-13 15:57:39 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-13 15:57:39 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.11.Final
2025-03-13 15:57:39 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-03-13 15:57:40 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-13 15:57:40 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-13 15:57:40 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2025-03-13 15:57:42 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-03-13 15:57:42 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-13 15:57:44 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6b04689e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4be5b9b1, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d1f9ec3, org.springframework.security.web.header.HeaderWriterFilter@564fc235, org.springframework.security.web.csrf.CsrfFilter@4af6839c, org.springframework.security.web.authentication.logout.LogoutFilter@761f1a28, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@447a557b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f11d889, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d1973e8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ad80cf6, org.springframework.security.web.session.SessionManagementFilter@7699e60a, org.springframework.security.web.access.ExceptionTranslationFilter@7bbd0006, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2e488e45]
2025-03-13 15:57:44 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-13 15:57:45 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-13 15:57:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-03-13 15:57:45 [main] INFO  c.c.f.household.HouseholdApplication - Started HouseholdApplication in 11.269 seconds (JVM running for 12.078)
2025-03-13 15:57:45 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-13 15:57:45 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-13 15:57:45 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-03-13 15:57:49 [http-nio-8080-exec-2] INFO  c.c.f.h.c.RegistrationController - User - senan.ism logged in successfully
